Category,Formal_Name,Abbreviation,Definition,Physiological_Basis,Ischaemia_Expected,Congestion_Expected,Clinical_Significance
Area,End Datum Area,End_Datum_Area,Area between waveform and baseline from dicrotic notch to pulse end,Quantifies diastolic runoff volume,Decrease (↓↓) - Reduced diastolic perfusion,Decrease (↓) - Impaired venous drainage,Diastolic function indicator
Time,Rise Time (Crest Time),Rise_Time,Time from pulse onset to systolic peak (systolic upstroke duration),Reflects arterial stiffness and left ventricular contractility,Increase (↑) - Prolonged due to reduced contractility,Variable - May increase due to impedance,87.5% accuracy for cardiovascular disease (with ΔT); Park et al. 2022
Time,Fall Time (Decay Time),Fall_Time,Time from systolic peak to next pulse onset (diastolic decay duration),"Reflects peripheral resistance, arterial compliance, and diastolic runoff",Increase (↑) - Slower decay due to reduced flow,Increase (↑↑) - Prolonged venous drainage,Diastolic function and peripheral resistance indicator
Time,Pulse Width,Pulse_Width,Total duration of one cardiac cycle (onset-to-onset interval),Inversely proportional to heart rate; reflects cardiac cycle length,Variable - Compensatory tachycardia may decrease,Variable - Depends on autonomic response,Heart rate variability metric
Time,Pulse Width at 50% Amplitude,PW50,Duration at 50% of systolic peak amplitude (full width at half maximum),Correlates with systemic vascular resistance and arterial stiffness,Increase (↑) - Broader waveform due to reduced compliance,Increase (↑) - Prolonged due to impedance,Vascular resistance proxy; Awad et al. 2007
Time,Delta T (VPG zero-crossing interval),Delta_T,Time between first and second zero-crossing in Velocity PPG (1st derivative),Represents time for blood ejected from heart to reach peripheral vessels,Increase (↑↑) - Delayed peripheral arrival,Increase (↑) - Impaired propagation,87.5% CVD detection accuracy; Alty et al. 2007
Time,Systolic Width,Systolic_Width,Duration from pulse onset to dicrotic notch,Systolic ejection time; reflects left ventricular performance,Increase (↑) - Prolonged ejection due to reduced contractility,Variable,Systolic function timing metric
Time,Diastolic Width,Diastolic_Width,Duration from dicrotic notch to next pulse onset,Diastolic filling time; reflects coronary perfusion window,Variable,Increase (↑) - Prolonged diastole,Diastolic function timing metric
Slope,Systolic Upslope,Upslope,Maximum gradient during systolic upstroke: dPPG/dt|max (during rise),Reflects myocardial contractility (dP/dt) and arterial stiffness,Decrease (↓↓) - Reduced contractile force,Decrease (↓) - Dampened pulsation,Contractility and arterial compliance indicator
Slope,Diastolic Downslope,Downslope,Maximum negative gradient during diastolic decay: -dPPG/dt|max (during fall),Reflects peripheral resistance and arterial elasticity,Decrease in magnitude (↓) - Slower decay,Decrease in magnitude (↓↓) - Impaired runoff,Peripheral resistance and compliance metric
Slope,Onset-to-End Slope,Onset_End_Slope,Average slope from pulse onset to next onset (overall waveform gradient),Net hemodynamic trend over cardiac cycle,Variable,Variable,Overall perfusion trend indicator
Slope,Upslope Length,Upslope_Length,Arc length of systolic upstroke curve,Quantifies systolic path complexity,"Decrease (↓) - Shorter, blunted upstroke",Decrease (↓),Waveform morphology descriptor
Slope,Downslope Length,Downslope_Length,Arc length of diastolic downstroke curve,Quantifies diastolic decay complexity,Decrease (↓),Decrease (↓),Waveform morphology descriptor
SDPPG,SDPPG b/a Ratio,SDPPG_b_a,Ratio of early systolic negative peak (b) to positive peak (a) in 2nd derivative PPG,Reflects arterial stiffness; increases with vascular aging and atherosclerosis,Increase (↑) - Increased stiffness due to reduced compliance,Variable,Vascular aging index; correlates with Framingham risk score
SDPPG,SDPPG c/a Ratio,SDPPG_c_a,Ratio of late systolic re-increasing peak (c) to early systolic positive peak (a),Reflects wave reflection from periphery; decreases with age and stiffness,Decrease (↓) - Reduced peripheral reflection,Variable,Identifies hypertensive patients; Simek et al. 2005
SDPPG,SDPPG d/a Ratio,SDPPG_d_a,Ratio of late systolic re-decreasing peak (d) to early systolic positive peak (a),Inversely proportional to vascular stiffness; decreases with aging,Decrease (↓) - Increased stiffness,Variable,Vasoactive agent evaluation metric
SDPPG,SDPPG e/a Ratio,SDPPG_e_a,Ratio of early diastolic positive peak (e) to early systolic positive peak (a),Inversely proportional to vascular stiffness; marker of arterial compliance,Decrease (↓) - Reduced compliance,Variable,Arterial elasticity indicator
SDPPG,Dicrotic Notch Prominence,DNP,Depth of dicrotic notch relative to systolic peak in 2nd derivative,Reflects aortic valve closure timing and reflected wave magnitude,Decrease (↓) - Blunted notch due to reduced pulsatility,Decrease (↓),Cardiac valve function and wave reflection indicator
Shape & Stats,AUC Ratio (Systolic/Diastolic),AUC_Ratio,Ratio of systolic to diastolic area: S_AUC / D_AUC,Represents systolic-diastolic balance; reflects ejection fraction vs runoff,Variable - Both components decrease proportionally,Variable - Disproportionate diastolic reduction,Phase balance indicator; clinical value under investigation
Shape & Stats,Datum Area Ratio,Datum_Area_Ratio,Ratio of start to end datum areas: Start_Datum_Area / End_Datum_Area,Systolic vs diastolic volume balance,Variable,Variable,Limited diagnostic value in phantom study
Shape & Stats,Slope Ratio (Upslope/Downslope),Slope_Ratio,Ratio of systolic upslope to diastolic downslope magnitude,Contractility vs peripheral resistance balance,Variable,Variable,Systolic-diastolic function balance metric
Shape & Stats,Width Ratio (Systolic/Diastolic),Width_Ratio,Ratio of systolic to diastolic phase duration,Temporal phase distribution,Variable,Decrease (↓) - Prolonged diastole,Cardiac timing balance indicator
Shape & Stats,Skewness,Skewness,Third moment of PPG distribution; quantifies waveform asymmetry,"Positive skew: sharp systolic rise, gradual diastolic fall (normal); negative: blunted peak",Decrease (↓) - More symmetric due to blunted peak,Variable,Waveform shape descriptor
Shape & Stats,Kurtosis,Kurtosis,Fourth moment of PPG distribution; quantifies waveform peakedness,High kurtosis: sharp peak; low: flattened waveform,Decrease (↓) - Flattened waveform,Variable,Waveform morphology quantifier
Shape & Stats,Variance,Variance,Second moment of PPG distribution; quantifies signal variability,Reflects overall pulsation amplitude and consistency,Decrease (↓↓) - Reduced pulsatility,Decrease (↓),Overall perfusion variability metric
Shape & Stats,Reflected Wave Index,RWI,Ratio of diastolic peak to systolic peak amplitude,Quantifies magnitude of reflected wave from periphery; related to arterial stiffness,Decrease (↓) - Reduced reflection due to poor perfusion,Variable,Wave reflection and arterial stiffness indicator
Shape & Stats,Inflection Point Area Ratio,IPAR,Ratio of areas divided by inflection point (dicrotic notch) on waveform,Related to total peripheral resistance,Variable,Variable,Peripheral resistance proxy; Wang et al. 2009
